IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
38.181.70.15,4,4,0.00,113.65,0.00
34.126.148.33,4,4,0.00,113.79,0.00
34.87.149.251,4,4,0.00,114.38,0.00
128.199.200.214,4,4,0.00,114.92,0.00
47.236.225.136,4,4,0.00,118.07,0.00
8.222.225.193,4,4,0.00,118.52,0.00
47.236.225.136,4,4,0.00,118.61,0.00
4.193.148.154,4,4,0.00,119.19,0.00
20.205.175.23,4,4,0.00,120.24,0.00
47.236.84.196,4,4,0.00,120.53,0.00
47.236.110.238,4,4,0.00,121.07,0.00
172.105.123.221,4,4,0.00,121.13,0.00
8.219.212.74,4,4,0.00,121.60,0.00
47.236.42.25,4,4,0.00,121.78,0.00
47.236.104.141,4,4,0.00,121.86,0.00
168.138.182.215,4,4,0.00,122.58,0.00
128.199.225.181,4,4,0.00,122.96,0.00
34.124.190.123,4,4,0.00,122.99,0.00
47.236.86.26,4,4,0.00,124.81,0.00
47.236.30.65,4,4,0.00,124.97,0.00
152.69.219.32,4,4,0.00,125.16,0.00
213.35.106.83,4,4,0.00,126.17,0.00
47.236.105.181,4,4,0.00,126.56,0.00
47.236.122.254,4,4,0.00,126.87,0.00
47.236.91.191,4,4,0.00,127.38,0.00
47.236.21.211,4,4,0.00,127.68,0.00
47.236.118.107,4,4,0.00,128.05,0.00
47.236.108.172,4,4,0.00,128.24,0.00
47.236.108.172,4,4,0.00,128.26,0.00
47.236.225.136,4,4,0.00,129.72,0.00
47.236.114.185,4,4,0.00,129.92,0.00
47.236.65.23,4,4,0.00,130.82,0.00
178.128.17.247,4,4,0.00,132.50,0.00
47.236.84.196,4,4,0.00,136.64,0.00
47.236.244.198,4,4,0.00,136.78,0.00
47.236.244.198,4,4,0.00,136.83,0.00
34.87.121.185,4,4,0.00,138.71,0.00
128.199.198.240,4,4,0.00,140.21,0.00
34.87.121.185,4,4,0.00,140.46,0.00
129.150.50.84,4,4,0.00,142.38,0.00
152.69.217.160,4,4,0.00,143.59,0.00
138.2.107.0,4,4,0.00,144.30,0.00
8.219.161.158,4,4,0.00,144.40,0.00
213.35.120.96,4,4,0.00,144.71,0.00
168.138.182.65,4,4,0.00,144.95,0.00
146.235.18.35,4,4,0.00,145.46,0.00
168.138.182.161,4,4,0.00,145.85,0.00
47.236.104.141,4,4,0.00,145.91,0.00
188.166.232.56,4,4,0.00,146.17,0.00
159.223.54.83,4,4,0.00,146.71,0.00
188.166.236.163,4,4,0.00,147.22,0.00
188.166.231.106,4,4,0.00,147.97,0.00
206.189.32.189,4,4,0.00,149.12,0.00
128.199.188.174,4,4,0.00,149.26,0.00
34.87.149.251,4,4,0.00,150.01,0.00
128.199.119.77,4,4,0.00,150.18,0.00
8.219.210.171,4,4,0.00,150.90,0.00
128.199.156.188,4,4,0.00,150.97,0.00
34.87.149.251,4,4,0.00,151.40,0.00
165.22.108.227,4,4,0.00,152.47,0.00
8.219.161.158,4,4,0.00,154.95,0.00
129.150.50.84,4,4,0.00,155.66,0.00
146.190.100.52,4,4,0.00,155.71,0.00
34.124.237.213,4,4,0.00,155.83,0.00
103.172.110.95,4,4,0.00,156.29,0.00
103.172.111.50,4,4,0.00,156.47,0.00
103.172.110.95,4,4,0.00,156.94,0.00
103.172.110.97,4,4,0.00,157.16,0.00
8.219.245.29,4,4,0.00,157.27,0.00
103.172.110.95,4,4,0.00,157.31,0.00
34.124.227.209,4,4,0.00,159.84,0.00
103.172.110.95,4,4,0.00,159.97,0.00
103.172.111.50,4,4,0.00,160.02,0.00
103.172.110.95,4,4,0.00,160.19,0.00
27.0.234.68,4,4,0.00,160.65,0.00
152.69.219.30,4,4,0.00,160.77,0.00
103.172.110.95,4,4,0.00,160.84,0.00
103.172.110.95,4,4,0.00,160.85,0.00
146.190.100.178,4,4,0.00,160.92,0.00
103.172.110.95,4,4,0.00,161.09,0.00
103.172.110.97,4,4,0.00,161.27,0.00
52.84.229.97,4,4,0.00,53.52,0.00
103.172.110.95,4,4,0.00,162.23,0.00
203.29.54.52,4,4,0.00,162.24,0.00
103.172.111.50,4,4,0.00,162.56,0.00
146.190.100.178,4,4,0.00,163.09,0.00
103.172.110.95,4,4,0.00,163.34,0.00
8.219.210.171,4,4,0.00,164.37,0.00
43.245.198.207,4,4,0.00,164.91,0.00
103.172.110.202,4,4,0.00,165.02,0.00
